05062024
Symbol,Month type,Symbol Type,Step Value,No. of Strikes Provided (ITM),No. of Strikes Provided (ATM),No. of Strikes Provided (OTM),Total Strikes including reserve (ITM),Total Strikes including reserve (ATM),Total Strikes including reserve (OTM)
AARTIIND,M1,EQUITY,10,6,1,6,18,1,18
AARTIIND,M1,EQUITY,20,5,1,5,15,1,15
AARTIIND,M2,EQUITY,10,6,1,6,18,1,18
AARTIIND,M2,EQUITY,20,5,1,5,15,1,15
AARTIIND,M3,EQUITY,40,2,1,2,6,1,6
AARTIIND,M3,EQUITY,20,3,1,3,9,1,9
ABB,M1,EQUITY,50,11,1,11,33,1,33
ABB,M1,EQUITY,100,8,1,8,24,1,24
ABB,M2,EQUITY,50,11,1,11,33,1,33
ABB,M2,EQUITY,100,8,1,8,24,1,24
ABB,M3,EQUITY,200,4,1,4,12,1,12
ABB,M3,EQUITY,100,6,1,6,18,1,18
ABBOTINDIA,M1,EQUITY,250,11,1,11,33,1,33
ABBOTINDIA,M1,EQUITY,500,9,1,9,27,1,27
ABBOTINDIA,M2,EQUITY,250,11,1,11,33,1,33
ABBOTINDIA,M2,EQUITY,500,9,1,9,27,1,27
ABBOTINDIA,M3,EQUITY,1000,4,1,4,12,1,12
ABBOTINDIA,M3,EQUITY,500,6,1,6,18,1,18
ABCAPITAL,M1,EQUITY,2.5,7,1,7,21,1,21
ABCAPITAL,M1,EQUITY,5,5,1,5,15,1,15
ABCAPITAL,M2,EQUITY,2.5,7,1,7,21,1,21
ABCAPITAL,M2,EQUITY,5,5,1,5,15,1,15
ABCAPITAL,M3,EQUITY,10,3,1,3,9,1,9
ABCAPITAL,M3,EQUITY,5,4,1,4,12,1,12
ABFRL,M1,EQUITY,2.5,8,1,8,24,1,24
ABFRL,M1,EQUITY,5,6,1,6,18,1,18
ABFRL,M2,EQUITY,2.5,8,1,8,24,1,24
ABFRL,M2,EQUITY,5,6,1,6,18,1,18
ABFRL,M3,EQUITY,10,3,1,3,9,1,9
ABFRL,M3,EQUITY,5,4,1,4,12,1,12
ACC,M1,EQUITY,20,12,1,12,36,1,36
ACC,M1,EQUITY,40,9,1,9,27,1,27
ACC,M2,EQUITY,20,12,1,12,36,1,36
ACC,M2,EQUITY,40,9,1,9,27,1,27
ACC,M3,EQUITY,80,5,1,5,15,1,15
ACC,M3,EQUITY,40,6,1,6,18,1,18
ADANIENT,M1,EQUITY,50,6,1,6,18,1,18
ADANIENT,M1,EQUITY,100,5,1,5,15,1,15
ADANIENT,M2,EQUITY,50,6,1,6,18,1,18
ADANIENT,M2,EQUITY,100,5,1,5,15,1,15
ADANIENT,M3,EQUITY,200,2,1,2,6,1,6
ADANIENT,M3,EQUITY,100,3,1,3,9,1,9
ADANIPORTS,M1,EQUITY,20,6,1,6,18,1,18
ADANIPORTS,M1,EQUITY,40,5,1,5,15,1,15
ADANIPORTS,M2,EQUITY,20,6,1,6,18,1,18
ADANIPORTS,M2,EQUITY,40,5,1,5,15,1,15
ADANIPORTS,M3,EQUITY,80,2,1,2,6,1,6
ADANIPORTS,M3,EQUITY,40,3,1,3,9,1,9
ALKEM,M1,EQUITY,50,10,1,10,30,1,30
ALKEM,M1,EQUITY,100,8,1,8,24,1,24
ALKEM,M2,EQUITY,50,10,1,10,30,1,30
ALKEM,M2,EQUITY,100,8,1,8,24,1,24
ALKEM,M3,EQUITY,200,4,1,4,12,1,12
ALKEM,M3,EQUITY,100,5,1,5,15,1,15
AMBUJACEM,M1,EQUITY,10,6,1,6,18,1,18
AMBUJACEM,M1,EQUITY,20,5,1,5,15,1,15
AMBUJACEM,M2,EQUITY,10,6,1,6,18,1,18
AMBUJACEM,M2,EQUITY,20,5,1,5,15,1,15
AMBUJACEM,M3,EQUITY,40,2,1,2,6,1,6
AMBUJACEM,M3,EQUITY,20,3,1,3,9,1,9
APOLLOHOSP,M1,EQUITY,50,12,1,12,36,1,36
APOLLOHOSP,M1,EQUITY,100,9,1,9,27,1,27
APOLLOHOSP,M2,EQUITY,50,12,1,12,36,1,36
APOLLOHOSP,M2,EQUITY,100,9,1,9,27,1,27
APOLLOHOSP,M3,EQUITY,200,5,1,5,15,1,15
APOLLOHOSP,M3,EQUITY,100,6,1,6,18,1,18
APOLLOTYRE,M1,EQUITY,5,10,1,10,30,1,30
APOLLOTYRE,M1,EQUITY,10,7,1,7,21,1,21
APOLLOTYRE,M2,EQUITY,5,10,1,10,30,1,30
APOLLOTYRE,M2,EQUITY,10,7,1,7,21,1,21
APOLLOTYRE,M3,EQUITY,20,4,1,4,12,1,12
APOLLOTYRE,M3,EQUITY,10,5,1,5,15,1,15
ASHOKLEY,M1,EQUITY,2.5,7,1,7,21,1,21
ASHOKLEY,M1,EQUITY,5,5,1,5,15,1,15
ASHOKLEY,M2,EQUITY,2.5,7,1,7,21,1,21
ASHOKLEY,M2,EQUITY,5,5,1,5,15,1,15
ASHOKLEY,M3,EQUITY,10,2,1,2,6,1,6
ASHOKLEY,M3,EQUITY,5,3,1,3,9,1,9
ASIANPAINT,M1,EQUITY,20,12,1,12,36,1,36
ASIANPAINT,M1,EQUITY,40,11,1,11,33,1,33
ASIANPAINT,M2,EQUITY,20,12,1,12,36,1,36
ASIANPAINT,M2,EQUITY,40,11,1,11,33,1,33
ASIANPAINT,M3,EQUITY,80,5,1,5,15,1,15
ASIANPAINT,M3,EQUITY,40,6,1,6,18,1,18
ASTRAL,M1,EQUITY,20,10,1,10,30,1,30
ASTRAL,M1,EQUITY,40,8,1,8,24,1,24
ASTRAL,M2,EQUITY,20,10,1,10,30,1,30
ASTRAL,M2,EQUITY,40,8,1,8,24,1,24
ASTRAL,M3,EQUITY,80,4,1,4,12,1,12
ASTRAL,M3,EQUITY,40,5,1,5,15,1,15
ATUL,M1,EQUITY,50,12,1,12,36,1,36
ATUL,M1,EQUITY,100,9,1,9,27,1,27
ATUL,M2,EQUITY,50,12,1,12,36,1,36
ATUL,M2,EQUITY,100,9,1,9,27,1,27
ATUL,M3,EQUITY,200,5,1,5,15,1,15
ATUL,M3,EQUITY,100,6,1,6,18,1,18
AUBANK,M1,EQUITY,5,12,1,12,36,1,36
AUBANK,M1,EQUITY,10,9,1,9,27,1,27
AUBANK,M2,EQUITY,5,12,1,12,36,1,36
AUBANK,M2,EQUITY,10,9,1,9,27,1,27
AUBANK,M3,EQUITY,20,4,1,4,12,1,12
AUBANK,M3,EQUITY,10,6,1,6,18,1,18
AUROPHARMA,M1,EQUITY,20,5,1,5,15,1,15
AUROPHARMA,M1,EQUITY,40,4,1,4,12,1,12
AUROPHARMA,M2,EQUITY,20,5,1,5,15,1,15
AUROPHARMA,M2,EQUITY,40,4,1,4,12,1,12
AUROPHARMA,M3,EQUITY,80,2,1,2,6,1,6
AUROPHARMA,M3,EQUITY,40,3,1,3,9,1,9
AXISBANK,M1,EQUITY,10,11,1,11,33,1,33
AXISBANK,M1,EQUITY,20,8,1,8,24,1,24
AXISBANK,M2,EQUITY,10,11,1,11,33,1,33
AXISBANK,M2,EQUITY,20,8,1,8,24,1,24
AXISBANK,M3,EQUITY,40,4,1,4,12,1,12
AXISBANK,M3,EQUITY,20,5,1,5,15,1,15
BAJAJ-AUTO,M1,EQUITY,100,8,1,8,24,1,24
BAJAJ-AUTO,M1,EQUITY,200,6,1,6,18,1,18
BAJAJ-AUTO,M2,EQUITY,100,8,1,8,24,1,24
BAJAJ-AUTO,M2,EQUITY,200,6,1,6,18,1,18
BAJAJ-AUTO,M3,EQUITY,400,3,1,3,9,1,9
BAJAJ-AUTO,M3,EQUITY,200,4,1,4,12,1,12
BAJAJFINSV,M1,EQUITY,20,8,1,8,24,1,24
BAJAJFINSV,M1,EQUITY,40,6,1,6,18,1,18
BAJAJFINSV,M2,EQUITY,20,8,1,8,24,1,24
BAJAJFINSV,M2,EQUITY,40,6,1,6,18,1,18
BAJAJFINSV,M3,EQUITY,80,3,1,3,9,1,9
BAJAJFINSV,M3,EQUITY,40,4,1,4,12,1,12
BAJFINANCE,M1,EQUITY,50,12,1,12,36,1,36
BAJFINANCE,M1,EQUITY,100,10,1,10,30,1,30
BAJFINANCE,M2,EQUITY,50,12,1,12,36,1,36
BAJFINANCE,M2,EQUITY,100,10,1,10,30,1,30
BAJFINANCE,M3,EQUITY,200,5,1,5,15,1,15
BAJFINANCE,M3,EQUITY,100,6,1,6,18,1,18
BALKRISIND,M1,EQUITY,20,11,1,11,33,1,33
BALKRISIND,M1,EQUITY,40,8,1,8,24,1,24
BALKRISIND,M2,EQUITY,20,11,1,11,33,1,33
BALKRISIND,M2,EQUITY,40,8,1,8,24,1,24
BALKRISIND,M3,EQUITY,80,4,1,4,12,1,12
BALKRISIND,M3,EQUITY,40,6,1,6,18,1,18
BALRAMCHIN,M1,EQUITY,5,7,1,7,21,1,21
BALRAMCHIN,M1,EQUITY,10,5,1,5,15,1,15
BALRAMCHIN,M2,EQUITY,5,7,1,7,21,1,21
BALRAMCHIN,M2,EQUITY,10,5,1,5,15,1,15
BALRAMCHIN,M3,EQUITY,20,3,1,3,9,1,9
BALRAMCHIN,M3,EQUITY,10,4,1,4,12,1,12
BANDHANBNK,M1,EQUITY,2.5,7,1,7,21,1,21
BANDHANBNK,M1,EQUITY,5,5,1,5,15,1,15
BANDHANBNK,M2,EQUITY,2.5,7,1,7,21,1,21
BANDHANBNK,M2,EQUITY,5,5,1,5,15,1,15
BANDHANBNK,M3,EQUITY,10,3,1,3,9,1,9
BANDHANBNK,M3,EQUITY,5,4,1,4,12,1,12
BANKBARODA,M1,EQUITY,5,5,1,5,15,1,15
BANKBARODA,M1,EQUITY,10,4,1,4,12,1,12
BANKBARODA,M2,EQUITY,5,5,1,5,15,1,15
BANKBARODA,M2,EQUITY,10,4,1,4,12,1,12
BANKBARODA,M3,EQUITY,20,2,1,2,6,1,6
BANKBARODA,M3,EQUITY,10,3,1,3,9,1,9
BATAINDIA,M1,EQUITY,10,12,1,12,36,1,36
BATAINDIA,M1,EQUITY,20,10,1,10,30,1,30
BATAINDIA,M2,EQUITY,10,12,1,12,36,1,36
BATAINDIA,M2,EQUITY,20,10,1,10,30,1,30
BATAINDIA,M3,EQUITY,40,5,1,5,15,1,15
BATAINDIA,M3,EQUITY,20,6,1,6,18,1,18
BEL,M1,EQUITY,2.5,8,1,8,24,1,24
BEL,M1,EQUITY,5,6,1,6,18,1,18
BEL,M2,EQUITY,2.5,8,1,8,24,1,24
BEL,M2,EQUITY,5,6,1,6,18,1,18
BEL,M3,EQUITY,10,3,1,3,9,1,9
BEL,M3,EQUITY,5,4,1,4,12,1,12
BERGEPAINT,M1,EQUITY,5,11,1,11,33,1,33
BERGEPAINT,M1,EQUITY,10,8,1,8,24,1,24
BERGEPAINT,M2,EQUITY,5,11,1,11,33,1,33
BERGEPAINT,M2,EQUITY,10,8,1,8,24,1,24
BERGEPAINT,M3,EQUITY,20,4,1,4,12,1,12
BERGEPAINT,M3,EQUITY,10,6,1,6,18,1,18
BHARATFORG,M1,EQUITY,10,11,1,11,33,1,33
BHARATFORG,M1,EQUITY,20,8,1,8,24,1,24
BHARATFORG,M2,EQUITY,10,11,1,11,33,1,33
BHARATFORG,M2,EQUITY,20,8,1,8,24,1,24
BHARATFORG,M3,EQUITY,40,4,1,4,12,1,12
BHARATFORG,M3,EQUITY,20,6,1,6,18,1,18
BHARTIARTL,M1,EQUITY,10,12,1,12,36,1,36
BHARTIARTL,M1,EQUITY,20,9,1,9,27,1,27
BHARTIARTL,M2,EQUITY,10,12,1,12,36,1,36
BHARTIARTL,M2,EQUITY,20,9,1,9,27,1,27
BHARTIARTL,M3,EQUITY,40,5,1,5,15,1,15
BHARTIARTL,M3,EQUITY,20,6,1,6,18,1,18
BHEL,M1,EQUITY,5,4,1,4,12,1,12
BHEL,M1,EQUITY,10,3,1,3,9,1,9
BHEL,M2,EQUITY,5,4,1,4,12,1,12
BHEL,M2,EQUITY,10,3,1,3,9,1,9
BHEL,M3,EQUITY,20,2,1,2,6,1,6
BHEL,M3,EQUITY,10,3,1,3,9,1,9
BIOCON,M1,EQUITY,5,5,1,5,15,1,15
BIOCON,M1,EQUITY,10,4,1,4,12,1,12
BIOCON,M2,EQUITY,5,5,1,5,15,1,15
BIOCON,M2,EQUITY,10,4,1,4,12,1,12
BIOCON,M3,EQUITY,20,2,1,2,6,1,6
BIOCON,M3,EQUITY,10,3,1,3,9,1,9
BOSCHLTD,M1,EQUITY,250,12,1,12,36,1,36
BOSCHLTD,M1,EQUITY,500,9,1,9,27,1,27
BOSCHLTD,M2,EQUITY,250,12,1,12,36,1,36
BOSCHLTD,M2,EQUITY,500,9,1,9,27,1,27
BOSCHLTD,M3,EQUITY,1000,4,1,4,12,1,12
BOSCHLTD,M3,EQUITY,500,6,1,6,18,1,18
BPCL,M1,EQUITY,10,6,1,6,18,1,18
BPCL,M1,EQUITY,20,4,1,4,12,1,12
BPCL,M2,EQUITY,10,6,1,6,18,1,18
BPCL,M2,EQUITY,20,4,1,4,12,1,12
BPCL,M3,EQUITY,40,2,1,2,6,1,6
BPCL,M3,EQUITY,20,3,1,3,9,1,9
BRITANNIA,M1,EQUITY,50,10,1,10,30,1,30
BRITANNIA,M1,EQUITY,100,7,1,7,21,1,21
BRITANNIA,M2,EQUITY,50,10,1,10,30,1,30
BRITANNIA,M2,EQUITY,100,7,1,7,21,1,21
BRITANNIA,M3,EQUITY,200,4,1,4,12,1,12
BRITANNIA,M3,EQUITY,100,5,1,5,15,1,15
BSOFT,M1,EQUITY,10,8,1,8,24,1,24
BSOFT,M1,EQUITY,20,6,1,6,18,1,18
BSOFT,M2,EQUITY,10,8,1,8,24,1,24
BSOFT,M2,EQUITY,20,6,1,6,18,1,18
BSOFT,M3,EQUITY,40,3,1,3,9,1,9
BSOFT,M3,EQUITY,20,4,1,4,12,1,12
CANBK,M1,EQUITY,1,11,1,11,33,1,33
CANBK,M1,EQUITY,2,8,1,8,24,1,24
CANBK,M2,EQUITY,1,11,1,11,33,1,33
CANBK,M2,EQUITY,2,8,1,8,24,1,24
CANBK,M3,EQUITY,4,4,1,4,12,1,12
CANBK,M3,EQUITY,2,6,1,6,18,1,18
CANFINHOME,M1,EQUITY,10,7,1,7,21,1,21
CANFINHOME,M1,EQUITY,20,5,1,5,15,1,15
CANFINHOME,M2,EQUITY,10,7,1,7,21,1,21
CANFINHOME,M2,EQUITY,20,5,1,5,15,1,15
CANFINHOME,M3,EQUITY,40,3,1,3,9,1,9
CANFINHOME,M3,EQUITY,20,4,1,4,12,1,12
CHAMBLFERT,M1,EQUITY,5,7,1,7,21,1,21
CHAMBLFERT,M1,EQUITY,10,5,1,5,15,1,15
CHAMBLFERT,M2,EQUITY,5,7,1,7,21,1,21
CHAMBLFERT,M2,EQUITY,10,5,1,5,15,1,15
CHAMBLFERT,M3,EQUITY,20,3,1,3,9,1,9
CHAMBLFERT,M3,EQUITY,10,3,1,3,9,1,9
CHOLAFIN,M1,EQUITY,20,5,1,5,15,1,15
CHOLAFIN,M1,EQUITY,40,4,1,4,12,1,12
CHOLAFIN,M2,EQUITY,20,5,1,5,15,1,15
CHOLAFIN,M2,EQUITY,40,4,1,4,12,1,12
CHOLAFIN,M3,EQUITY,80,2,1,2,6,1,6
CHOLAFIN,M3,EQUITY,40,3,1,3,9,1,9
CIPLA,M1,EQUITY,20,7,1,7,21,1,21
CIPLA,M1,EQUITY,40,6,1,6,18,1,18
CIPLA,M2,EQUITY,20,7,1,7,21,1,21
CIPLA,M2,EQUITY,40,6,1,6,18,1,18
CIPLA,M3,EQUITY,80,3,1,3,9,1,9
CIPLA,M3,EQUITY,40,4,1,4,12,1,12
COALINDIA,M1,EQUITY,5,8,1,8,24,1,24
COALINDIA,M1,EQUITY,10,6,1,6,18,1,18
COALINDIA,M2,EQUITY,5,8,1,8,24,1,24
COALINDIA,M2,EQUITY,10,6,1,6,18,1,18
COALINDIA,M3,EQUITY,20,3,1,3,9,1,9
COALINDIA,M3,EQUITY,10,4,1,4,12,1,12
COFORGE,M1,EQUITY,100,6,1,6,18,1,18
COFORGE,M1,EQUITY,200,5,1,5,15,1,15
COFORGE,M2,EQUITY,100,6,1,6,18,1,18
COFORGE,M2,EQUITY,200,5,1,5,15,1,15
COFORGE,M3,EQUITY,400,2,1,2,6,1,6
COFORGE,M3,EQUITY,200,3,1,3,9,1,9
COLPAL,M1,EQUITY,20,12,1,12,36,1,36
COLPAL,M1,EQUITY,40,10,1,10,30,1,30
COLPAL,M2,EQUITY,20,12,1,12,36,1,36
COLPAL,M2,EQUITY,40,10,1,10,30,1,30
COLPAL,M3,EQUITY,80,5,1,5,15,1,15
COLPAL,M3,EQUITY,40,6,1,6,18,1,18
CONCOR,M1,EQUITY,10,9,1,9,27,1,27
CONCOR,M1,EQUITY,20,7,1,7,21,1,21
CONCOR,M2,EQUITY,10,9,1,9,27,1,27
CONCOR,M2,EQUITY,20,7,1,7,21,1,21
CONCOR,M3,EQUITY,40,3,1,3,9,1,9
CONCOR,M3,EQUITY,20,4,1,4,12,1,12
COROMANDEL,M1,EQUITY,10,11,1,11,33,1,33
COROMANDEL,M1,EQUITY,20,8,1,8,24,1,24
COROMANDEL,M2,EQUITY,10,11,1,11,33,1,33
COROMANDEL,M2,EQUITY,20,8,1,8,24,1,24
COROMANDEL,M3,EQUITY,40,4,1,4,12,1,12
COROMANDEL,M3,EQUITY,20,5,1,5,15,1,15
CROMPTON,M1,EQUITY,2.5,11,1,11,33,1,33
CROMPTON,M1,EQUITY,5,8,1,8,24,1,24
CROMPTON,M2,EQUITY,2.5,11,1,11,33,1,33
CROMPTON,M2,EQUITY,5,8,1,8,24,1,24
CROMPTON,M3,EQUITY,10,4,1,4,12,1,12
CROMPTON,M3,EQUITY,5,6,1,6,18,1,18
CUB,M1,EQUITY,1,12,1,12,36,1,36
CUB,M1,EQUITY,2,10,1,10,30,1,30
CUB,M2,EQUITY,1,12,1,12,36,1,36
CUB,M2,EQUITY,2,10,1,10,30,1,30
CUB,M3,EQUITY,4,5,1,5,15,1,15
CUB,M3,EQUITY,2,6,1,6,18,1,18
CUMMINSIND,M1,EQUITY,20,12,1,12,36,1,36
CUMMINSIND,M1,EQUITY,40,10,1,10,30,1,30
CUMMINSIND,M2,EQUITY,20,12,1,12,36,1,36
CUMMINSIND,M2,EQUITY,40,10,1,10,30,1,30
CUMMINSIND,M3,EQUITY,80,5,1,5,15,1,15
CUMMINSIND,M3,EQUITY,40,6,1,6,18,1,18
DABUR,M1,EQUITY,5,11,1,11,33,1,33
DABUR,M1,EQUITY,10,8,1,8,24,1,24
DABUR,M2,EQUITY,5,11,1,11,33,1,33
DABUR,M2,EQUITY,10,8,1,8,24,1,24
DABUR,M3,EQUITY,20,4,1,4,12,1,12
DABUR,M3,EQUITY,10,5,1,5,15,1,15
DALBHARAT,M1,EQUITY,20,9,1,9,27,1,27
DALBHARAT,M1,EQUITY,40,7,1,7,21,1,21
DALBHARAT,M2,EQUITY,20,9,1,9,27,1,27
DALBHARAT,M2,EQUITY,40,7,1,7,21,1,21
DALBHARAT,M3,EQUITY,80,4,1,4,12,1,12
DALBHARAT,M3,EQUITY,40,5,1,5,15,1,15
DEEPAKNTR,M1,EQUITY,20,11,1,11,33,1,33
DEEPAKNTR,M1,EQUITY,40,8,1,8,24,1,24
DEEPAKNTR,M2,EQUITY,20,11,1,11,33,1,33
DEEPAKNTR,M2,EQUITY,40,8,1,8,24,1,24
DEEPAKNTR,M3,EQUITY,80,4,1,4,12,1,12
DEEPAKNTR,M3,EQUITY,40,5,1,5,15,1,15
DIVISLAB,M1,EQUITY,20,12,1,12,36,1,36
DIVISLAB,M1,EQUITY,40,12,1,12,36,1,36
DIVISLAB,M2,EQUITY,20,12,1,12,36,1,36
DIVISLAB,M2,EQUITY,40,12,1,12,36,1,36
DIVISLAB,M3,EQUITY,80,6,1,6,18,1,18
DIVISLAB,M3,EQUITY,40,6,1,6,18,1,18
DIXON,M1,EQUITY,100,7,1,7,21,1,21
DIXON,M1,EQUITY,200,5,1,5,15,1,15
DIXON,M2,EQUITY,100,7,1,7,21,1,21
DIXON,M2,EQUITY,200,5,1,5,15,1,15
DIXON,M3,EQUITY,400,3,1,3,9,1,9
DIXON,M3,EQUITY,200,4,1,4,12,1,12
DLF,M1,EQUITY,10,8,1,8,24,1,24
DLF,M1,EQUITY,20,6,1,6,18,1,18
DLF,M2,EQUITY,10,8,1,8,24,1,24
DLF,M2,EQUITY,20,6,1,6,18,1,18
DLF,M3,EQUITY,40,3,1,3,9,1,9
DLF,M3,EQUITY,20,4,1,4,12,1,12
DRREDDY,M1,EQUITY,50,12,1,12,36,1,36
DRREDDY,M1,EQUITY,100,9,1,9,27,1,27
DRREDDY,M2,EQUITY,50,12,1,12,36,1,36
DRREDDY,M2,EQUITY,100,9,1,9,27,1,27
DRREDDY,M3,EQUITY,200,5,1,5,15,1,15
DRREDDY,M3,EQUITY,100,6,1,6,18,1,18
EICHERMOT,M1,EQUITY,50,8,1,8,24,1,24
EICHERMOT,M1,EQUITY,100,6,1,6,18,1,18
EICHERMOT,M2,EQUITY,50,8,1,8,24,1,24
EICHERMOT,M2,EQUITY,100,6,1,6,18,1,18
EICHERMOT,M3,EQUITY,200,3,1,3,9,1,9
EICHERMOT,M3,EQUITY,100,4,1,4,12,1,12
ESCORTS,M1,EQUITY,20,12,1,12,36,1,36
ESCORTS,M1,EQUITY,40,10,1,10,30,1,30
ESCORTS,M2,EQUITY,20,12,1,12,36,1,36
ESCORTS,M2,EQUITY,40,10,1,10,30,1,30
ESCORTS,M3,EQUITY,80,5,1,5,15,1,15
ESCORTS,M3,EQUITY,40,6,1,6,18,1,18
EXIDEIND,M1,EQUITY,20,3,1,3,9,1,9
EXIDEIND,M1,EQUITY,10,5,1,5,15,1,15
EXIDEIND,M2,EQUITY,20,3,1,3,9,1,9
EXIDEIND,M2,EQUITY,10,5,1,5,15,1,15
EXIDEIND,M3,EQUITY,40,2,1,2,6,1,6
EXIDEIND,M3,EQUITY,20,3,1,3,9,1,9
FEDERALBNK,M1,EQUITY,1,12,1,12,36,1,36
FEDERALBNK,M1,EQUITY,2,11,1,11,33,1,33
FEDERALBNK,M2,EQUITY,1,12,1,12,36,1,36
FEDERALBNK,M2,EQUITY,2,11,1,11,33,1,33
FEDERALBNK,M3,EQUITY,4,6,1,6,18,1,18
FEDERALBNK,M3,EQUITY,2,6,1,6,18,1,18
GAIL,M1,EQUITY,2.5,7,1,7,21,1,21
GAIL,M1,EQUITY,5,5,1,5,15,1,15
GAIL,M2,EQUITY,2.5,7,1,7,21,1,21
GAIL,M2,EQUITY,5,5,1,5,15,1,15
GAIL,M3,EQUITY,10,3,1,3,9,1,9
GAIL,M3,EQUITY,5,4,1,4,12,1,12
GLENMARK,M1,EQUITY,20,5,1,5,15,1,15
GLENMARK,M1,EQUITY,40,3,1,3,9,1,9
GLENMARK,M2,EQUITY,20,5,1,5,15,1,15
GLENMARK,M2,EQUITY,40,3,1,3,9,1,9
GLENMARK,M3,EQUITY,80,2,1,2,6,1,6
GLENMARK,M3,EQUITY,40,3,1,3,9,1,9
GMRINFRA,M1,EQUITY,1,8,1,8,24,1,24
GMRINFRA,M1,EQUITY,2,6,1,6,18,1,18
GMRINFRA,M2,EQUITY,1,8,1,8,24,1,24
GMRINFRA,M2,EQUITY,2,6,1,6,18,1,18
GMRINFRA,M3,EQUITY,4,3,1,3,9,1,9
GMRINFRA,M3,EQUITY,2,4,1,4,12,1,12
GNFC,M1,EQUITY,10,6,1,6,18,1,18
GNFC,M1,EQUITY,20,5,1,5,15,1,15
GNFC,M2,EQUITY,10,6,1,6,18,1,18
GNFC,M2,EQUITY,20,5,1,5,15,1,15
GNFC,M3,EQUITY,40,2,1,2,6,1,6
GNFC,M3,EQUITY,20,3,1,3,9,1,9
GODREJCP,M1,EQUITY,10,12,1,12,36,1,36
GODREJCP,M1,EQUITY,20,9,1,9,27,1,27
GODREJCP,M2,EQUITY,10,12,1,12,36,1,36
GODREJCP,M2,EQUITY,20,9,1,9,27,1,27
GODREJCP,M3,EQUITY,40,5,1,5,15,1,15
GODREJCP,M3,EQUITY,20,6,1,6,18,1,18
GODREJPROP,M1,EQUITY,20,11,1,11,33,1,33
GODREJPROP,M1,EQUITY,40,8,1,8,24,1,24
GODREJPROP,M2,EQUITY,20,11,1,11,33,1,33
GODREJPROP,M2,EQUITY,40,8,1,8,24,1,24
GODREJPROP,M3,EQUITY,80,4,1,4,12,1,12
GODREJPROP,M3,EQUITY,40,6,1,6,18,1,18
GRANULES,M1,EQUITY,5,8,1,8,24,1,24
GRANULES,M1,EQUITY,10,6,1,6,18,1,18
GRANULES,M2,EQUITY,5,8,1,8,24,1,24
GRANULES,M2,EQUITY,10,6,1,6,18,1,18
GRANULES,M3,EQUITY,20,3,1,3,9,1,9
GRANULES,M3,EQUITY,10,4,1,4,12,1,12
GRASIM,M1,EQUITY,20,11,1,11,33,1,33
GRASIM,M1,EQUITY,40,8,1,8,24,1,24
GRASIM,M2,EQUITY,20,11,1,11,33,1,33
GRASIM,M2,EQUITY,40,8,1,8,24,1,24
GRASIM,M3,EQUITY,80,4,1,4,12,1,12
GRASIM,M3,EQUITY,40,6,1,6,18,1,18
GUJGASLTD,M1,EQUITY,5,11,1,11,33,1,33
GUJGASLTD,M1,EQUITY,10,8,1,8,24,1,24
GUJGASLTD,M2,EQUITY,5,11,1,11,33,1,33
GUJGASLTD,M2,EQUITY,10,8,1,8,24,1,24
GUJGASLTD,M3,EQUITY,20,4,1,4,12,1,12
GUJGASLTD,M3,EQUITY,10,5,1,5,15,1,15
HAL,M1,EQUITY,50,6,1,6,18,1,18
HAL,M1,EQUITY,100,5,1,5,15,1,15
HAL,M2,EQUITY,50,6,1,6,18,1,18
HAL,M2,EQUITY,100,5,1,5,15,1,15
HAL,M3,EQUITY,200,2,1,2,6,1,6
HAL,M3,EQUITY,100,3,1,3,9,1,9
HAVELLS,M1,EQUITY,20,7,1,7,21,1,21
HAVELLS,M1,EQUITY,40,6,1,6,18,1,18
HAVELLS,M2,EQUITY,20,7,1,7,21,1,21
HAVELLS,M2,EQUITY,40,6,1,6,18,1,18
HAVELLS,M3,EQUITY,80,3,1,3,9,1,9
HAVELLS,M3,EQUITY,40,4,1,4,12,1,12
HCLTECH,M1,EQUITY,20,8,1,8,24,1,24
HCLTECH,M1,EQUITY,40,6,1,6,18,1,18
HCLTECH,M2,EQUITY,20,8,1,8,24,1,24
HCLTECH,M2,EQUITY,40,6,1,6,18,1,18
HCLTECH,M3,EQUITY,80,3,1,3,9,1,9
HCLTECH,M3,EQUITY,40,4,1,4,12,1,12
HDFCAMC,M1,EQUITY,50,8,1,8,24,1,24
HDFCAMC,M1,EQUITY,100,6,1,6,18,1,18
HDFCAMC,M2,EQUITY,50,8,1,8,24,1,24
HDFCAMC,M2,EQUITY,100,6,1,6,18,1,18
HDFCAMC,M3,EQUITY,200,3,1,3,9,1,9
HDFCAMC,M3,EQUITY,100,4,1,4,12,1,12
HDFCBANK,M1,EQUITY,10,12,1,12,36,1,36
HDFCBANK,M1,EQUITY,20,11,1,11,33,1,33
HDFCBANK,M2,EQUITY,10,12,1,12,36,1,36
HDFCBANK,M2,EQUITY,20,11,1,11,33,1,33
HDFCBANK,M3,EQUITY,40,5,1,5,15,1,15
HDFCBANK,M3,EQUITY,20,6,1,6,18,1,18
HDFCLIFE,M1,EQUITY,5,12,1,12,36,1,36
HDFCLIFE,M1,EQUITY,10,9,1,9,27,1,27
HDFCLIFE,M2,EQUITY,5,12,1,12,36,1,36
HDFCLIFE,M2,EQUITY,10,9,1,9,27,1,27
HDFCLIFE,M3,EQUITY,20,5,1,5,15,1,15
HDFCLIFE,M3,EQUITY,10,6,1,6,18,1,18
